dsid,mzp,mdh,mdm,gq,gx,acc_MET150200_2b,acc_MET200350_2b,acc_MET350500_2b,acc_MET500750_2b,acc_MET750_2b,acc_MET150200_3b,acc_MET200350_3b,acc_MET350500_3b,acc_MET500_3b,acc_total,sensitivity
100935,2000,150,100,0.25,2.5,0.0012558,0.0906373,0.0713707,0.0566506,0.0147276,0.0,0.001428,0.00111855,0.00223168,0.23942023,85.4732875113
100936,2000,150,100,0.25,3.0,0.00116385,0.0953783,0.0782973,0.0594094,0.0175972,0.0,0.00143337,0.00128074,0.00207536,0.25663552000000006,123.921258741
100937,2000,150,100,0.25,3.5,0.00126981,0.0929189,0.0843366,0.0677908,0.0195491,0.0,0.000932494,0.00101873,0.00241949,0.270235924,162.603736629
100938,2000,150,285,0.25,0.5,0.00135847,0.0822631,0.0522396,0.0333473,0.00879662,0.0,0.00134793,0.000615767,0.00124833,0.18121711699999998,0.299398089362
100941,2000,150,285,0.25,2.0,0.00150562,0.0903644,0.0637831,0.0428737,0.0113519,0.000102311,0.00127252,0.000871789,0.000932741,0.21305808099999998,34.9050372215
100942,2000,150,285,0.25,2.5,0.000957656,0.0993513,0.0654683,0.0448809,0.0112435,0.0,0.00162969,0.000551059,0.00140764,0.22549004499999997,57.0783049396
100943,2000,150,285,0.25,3.0,0.000988409,0.0982491,0.0672501,0.050754,0.0136219,0.000105954,0.000972261,0.00104554,0.00284621,0.235833474,87.6876103075
100944,2000,150,285,0.25,3.5,0.00088445,0.0902427,0.0766159,0.0599746,0.0174711,0.0,0.00195466,0.00164581,0.00257354,0.25136275999999996,123.213512027
100945,2000,150,470,0.25,0.5,0.0012628,0.0813081,0.0472546,0.0254874,0.00677847,0.0,0.00136587,0.000467785,0.00129772,0.16522274499999998,0.146823635149
100947,2000,150,470,0.25,1.5,0.00128955,0.0835409,0.0499989,0.0309304,0.00773365,0.0,0.00137051,0.00106614,0.00168387,0.17761391999999998,8.22554324855
100948,2000,150,470,0.25,2.0,0.00096308,0.0922889,0.0531661,0.0302731,0.00875965,0.0,0.00157893,0.000767725,0.00118056,0.188978045,19.051210007
100949,2000,150,470,0.25,2.5,0.00104994,0.0904451,0.0578873,0.0396518,0.00997005,0.0,0.000952289,0.000665486,0.00167678,0.202298745,37.0924115065
100950,2000,150,470,0.25,3.0,0.0010196,0.09654,0.0605763,0.0380983,0.0111327,0.0,0.00132968,0.0014786,0.0017837,0.21195888,55.1691434617
100951,2000,150,470,0.25,3.5,0.000854545,0.0973604,0.0686116,0.038183,0.0121505,0.0,0.00262544,0.000798932,0.00237656,0.22296097699999998,73.3204312362
100952,2000,150,655,0.25,0.5,0.000699202,0.0855886,0.0429751,0.0269561,0.00962026,0.0,0.00143386,0.000496373,0.00169148,0.16946097499999999,0.0749270515571
100954,2000,150,655,0.25,1.5,0.00117974,0.0805307,0.0462017,0.024576,0.00874571,0.0,0.00199037,0.000594192,0.00127656,0.165094972,4.16398523147
100955,2000,150,655,0.25,2.0,0.00154198,0.0831422,0.045119,0.0266633,0.00966212,0.0,0.0012848,0.000562382,0.00166757,0.169643352,10.7855571058
100957,2000,150,655,0.25,3.0,0.0015493,0.0869267,0.0474576,0.0292501,0.010832,0.0,0.00130417,0.00184005,0.00155821,0.18071813,35.1808262363
